PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
-3270012142,19214066,6,2019-10-20T10:30:00,"2300 Block Valera St Pittsburgh, PA 15210",N,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle,2904,4,3,-79.9874099595446,40.387941860745
213790493,19214142,10,2019-10-20T13:32:00,"100 Block Burrows St Pittsburgh, PA 15213",Y,West Oakland,4,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(3) Simple Assault - Attempts by Physical Menace ",402,,,0,0
213796201,19214278,0,2019-10-20T17:47:00,"300 Block Eutaw St Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1915,2,5,-80.0078001821763,40.4232840281589
213796576,19214312,29,2019-10-20T18:33:00,"7700 Block Susquehanna St Pittsburgh, PA 15221",Y,Homewood South,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1304,9,2,-79.8906376146183,40.4504513741394
213797143,19214308,18,2019-10-20T18:28:00,"7200 Block Felicia Way Pittsburgh, PA 15208",Y,Homewood South,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant,1303,9,2,-79.8964467490695,40.4569332160223
213803691,19214477,4,2019-10-20T23:15:00,"1700 Block Letsche St Pittsburgh, PA 15214",Y,Brighton Heights,1,AGG-ASSAULT,2702 Aggravated Assault. / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person.,2701,,,0,0
213805854,19214518,99,2019-10-21T01:22:00,"500 Block Market St Pittsburgh, PA 15222",N,Central Business District,2,MENTAL 201/302,9498 302 (Mental),201,6,6,-80.0020864900599,40.4414118012609
213861362,19214926,11,2019-10-14T23:00:00,"1600 Block Hybla St Pittsburgh, PA 15212",N,Spring Hill-City View,1,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,2620,,,0,0
212871211,19203118,18,2019-10-05T21:05:00,"1100 Block Pennsylvania Ave Pittsburgh, PA 15233",Y,Manchester,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 5507 Obstructing Highways and Passages.,2107,6,1,-80.021334130214,40.454983278857
212875232,19203171,10,2019-10-05T23:01:00,"600 Block Maryland Ave Pittsburgh, PA 15232",Y,Shadyside,4,SIMPLE ASSAULT,2701 Simple Assault. / 5505 Public Drunkenness / 5503 Disorderly Conduct.,705,8,2,-79.9307692011245,40.4561016616555
212894648,19203671,14,2019-10-06T16:40:00,"3100 Block Banksville Rd Pittsburgh, PA 15216",Y,Banksville,6,CRIM MISCHIEF,3304 Criminal Mischief.,2023,2,5,-80.0434542351477,40.4010772517516
212897110,19203780,10,2019-10-06T18:40:00,"8600 Block Bricelyn St Pittsburgh, PA 15221",Y,East Hills,1,SIMPLE ASSAULT,2701 Simple Assault.,2204,9,2,-79.8743592274177,40.4578647734886
213673054,19202132,18,2019-10-17T18:02:00,"1400 Block Halsey Pl Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2704,1,1,-80.030121661287,40.4643899343017
213709324,19212544,99,2019-10-18T09:26:00,"30 Block Cedricton St Pittsburgh, PA 15210",N,Carrick,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2901,4,3,-79.9923026362558,40.4050431661652
213725783,19212853,10,2019-10-18T18:02:00,"2800 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HARRASSMENT,2709 Harassment (Non-Specific),203,7,6,-79.9752251685523,40.4568522447489
213933395,19215593,99,2019-10-22T14:40:00,"2300 Block Eccles St Pittsburgh, PA 15210",N,South Side Slopes,3,DRUG INVESTIGATION,9124 Drug Investigation,1608,3,3,-79.9742634862407,40.418144117718
213941133,19209950,10,2019-10-14T19:30:00,"100 Block Rialto Pl Pittsburgh, PA 15212",Y,Troy Hill,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2406,1,1,-79.9823122644011,40.4667610570453
213953255,19215896,99,2019-10-22T21:45:00,"2900 Block Stafford St Pittsburgh, PA 15204",N,Sheraden,6,MENTAL 201/302,9498 302 (Mental),2018,2,5,-80.0504727005128,40.4567405354118
213959430,19216078,6,2019-10-23T06:20:00,"5800 Block Tay Way Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,705,8,2,-79.9310017759044,40.4565488788746
213718563,19212720,27,2019-10-18T14:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Manchester,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2107,6,1,-80.0219684615574,40.4512177173984
213825288,19214657,99,2019-10-21T09:15:00,"4200 Block Stanton Ave Pittsburgh, PA 15201",N,Stanton Heights,2,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1018,,,0,0
213836244,19208942,99,2019-10-13T13:47:00,"7800 Block Kelly St Pittsburgh, PA 15221",N,Homewood South,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1304,9,2,-79.887141350346,40.4532814721926
213838495,19214737,0,2019-10-21T11:42:00,"Howard St & Rising Main Ave Pittsburgh, PA 15212",N,Fineview,1,99,9999 9999 - (Misc. Incident): ,2509,1,1,-80.0002745748068,40.464684966379
213925480,19215551,27,2019-10-22T13:15:00,"4200 Block Saline St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1414,5,3,-79.9264992046763,40.4229741408752
213932068,19215584,6,2019-10-22T12:30:00,"3200 Block Joe Hammer Sq Pittsburgh, PA 15213",N,South Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,409,3,3,-79.9618413543841,40.4346436405558
213934024,19215586,0,2019-10-22T14:09:00,"400 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-79.9974986104995,40.4383790984651
213935074,19215587,6,2019-10-22T12:00:00,"4000 Block Willow St Pittsburgh, PA 15201",N,Central Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,901,7,2,-79.9649408017302,40.4708761603945
213941836,19215666,6,2019-10-22T15:30:00,"600 Block 3rd Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle,201,6,6,-79.9967706894009,40.4370365440584
213942875,19215702,6,2019-10-22T00:40:00,"W Carson St & West End Brg Pittsburgh, PA 15219",N,Duquesne Heights,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1911,,,0,0
-3373001677,19216243,6,2019-10-23T10:00:00,"300 Block La Belle St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1903,2,5,-80.0164860218775,40.4331458987987
213160624,19206222,6,2019-10-08T23:00:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2304,1,1,-80.0009078039902,40.4508935599436
213174701,19206386,6,2019-10-10T04:00:00,"1100 Block Stanhope St Pittsburgh, PA 15204",N,Sheraden,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2022,2,5,-80.0640600103736,40.4566230678904
213399194,19209488,14,2019-10-13T05:00:00,"5000 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1515,5,3,-79.9436863570209,40.4085502514463
213730505,19212931,99,2019-10-18T20:00:00,"3800 Block O Hara St Pittsburgh, PA 15213",Y,North Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,403,,,0,0
213946774,19213758,27,2019-10-19T22:21:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving,201,6,6,-79.9960409452176,40.4350395659104
213954211,19215914,27,2019-10-22T22:05:00,"Saw Mill Run Blvd & West End Brg Pittsburgh, PA 15226",N,West End,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2019,2,5,-80.0282028482851,40.4442110934777
213954829,19215897,13,2019-10-22T21:44:00,"Collier St & Race St Pittsburgh, PA 15208",N,Homewood North,5,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),1302,9,2,-79.8913369014292,40.4578564265558
213964071,19215506,26,2019-10-22T12:00:00,"500 Block Loyal Way Pittsburgh, PA 15210",N,Beltzhoover,3,CRIMINAL TRESPASS,3503 Criminal Trespass,1809,,,0,0
213991260,19216223,10,2019-10-23T11:54:00,"5600 Block Ollie St Pittsburgh, PA 15207",Y,Lincoln Place,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3102,5,3,-79.9187780836589,40.3678377968377
212867033,19202883,99,2019-10-05T17:45:00,"1000 Block Norris St Pittsburgh, PA 15212",N,Spring Hill-City View,1,AIDED CASE,9497 Aided Case,2620,,,0,0
212875420,19203246,4,2019-10-06T01:15:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",Y,Brighton Heights,1,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault.,2701,1,1,-80.0438525222314,40.4795625086697
212879191,19203375,29,2019-10-06T05:09:00,"2100 Block Wightman St Pittsburgh, PA 15217",N,Squirrel Hill South,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,1413,5,3,-79.9278665557045,40.4323891148543
212882535,19203422,6,2019-10-06T08:55:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1413,5,3,-79.9231547045145,40.4379249093786
212882688,19202755,14,2019-10-05T11:34:00,"2500 Block Library Rd Pittsburgh, PA 15234",Y,Overbrook,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 2709(a)(4) Harassment Communicates Prohibited Acts,3207,4,5,-79.9964550948278,40.3820866108699
212887643,19203594,6,2019-10-06T13:50:00,"7200 Block Frankstown Br Pittsburgh, PA 15208",N,Homewood North,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1302,9,2,-79.8962697960688,40.4573889155008
-3280000898,19203582,10,2019-10-06T13:15:00,"4800 Block Frew St Pittsburgh, PA 15213",Y,Squirrel Hill North,4,HARRASSMENT,2709(a) Harassment.,1401,8,3,-79.9470318286849,40.4415000726467
-3308002467,19203598,6,2019-10-06T13:10:00,"300 Block Brownsville Rd Pittsburgh, PA 15210",N,Mt. Oliver Boro,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,4810,3,5,-79.9883627708382,40.4142974620647
212899053,19203725,0,2019-10-06T18:05:00,"5200 Block Holmes St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,1011,,,0,0
212901065,19203835,0,2019-10-06T20:04:00,"Baum Blvd & Roup Ave Pittsburgh, PA 15232",Y,Friendship,5,99,1501 Drivers Required to be Licensed. / 1786 Required Financial Responsibility.,807,7,2,-79.9346005604429,40.4581266502381
213582053,19211287,0,2019-10-16T15:20:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): Non Reportable Accident,1208,9,2,-79.917435063919,40.4575134909614
213592127,19211357,0,2019-10-16T16:48:00,"7800 Block Kelly St Pittsburgh, PA 15221",N,Homewood South,5,99,9999 9999 - (Misc. Incident): ,1304,9,2,-79.887141350346,40.4532814721926
213949257,19215791,10,2019-10-22T18:57:00,"900 Block Herron Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,SIMPLE ASSAULT,2701 Simple Assault.,509,,,0,0
214024695,19216621,6,2019-10-23T22:40:00,"7600 Block Penn Ave Pittsburgh, PA 15221",N,Point Breeze,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1406,9,3,-79.8951355743265,40.4471228791488
214090113,19217081,99,2019-10-17T12:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",Y,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
214090580,19217083,99,2019-10-17T12:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",Y,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
214222943,19219067,99,2019-10-27T08:00:00,"30 Block Mt Oliver St Pittsburgh, PA 15210",N,South Side Slopes,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1706,3,3,-79.9873344848461,40.4207411148025
214223025,19218710,0,2019-10-26T19:42:00,"2300 Block East Hills Dr Pittsburgh, PA 15221",Y,East Hills,5,99,9093 Indirect Criminal Contempt,1306,9,2,-79.871328586779,40.4566162367709
214223253,19218417,6,2019-10-26T07:00:00,"5500 Block Hays St Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1113,9,2,-79.9295980729089,40.4704487820794
214225078,19219057,14,2019-10-27T07:20:00,"1300 Block Pointview St Pittsburgh, PA 15206",Y,Homewood West,5,CRIM MISCHIEF,3304 Criminal Mischief.,1207,9,2,-79.8984915302512,40.4666177190917
214227246,19218622,0,2019-10-26T17:54:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,99,3714 Careless Driving / 627.02(b)(i) Possessing a small amount of marijuana,1203,9,2,-79.9086166765251,40.4703056329977
214228022,19219092,10,2019-10-27T09:02:00,"5800 Block Ellsworth Ave Pittsburgh, PA 15232",N,Shadyside,4,TERRORISTIC THREATS,2706 Terroristic Threats. / 9093 Indirect Criminal Contempt,705,8,2,-79.9304378461889,40.4558575717021
214228674,19219164,6,2019-10-27T11:10:00,"900 Block Rosselle Ct Pittsburgh, PA 15207",N,Glen Hazel,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1504,,,0,0
214230742,19219165,10,2019-10-27T11:30:00,"200 Block Amherst St Pittsburgh, PA 15220",Y,Elliott,6,TERRORISTIC THREATS,2706 Terroristic Threats. / 9093 Indirect Criminal Contempt,2020,2,5,-80.0395252518968,40.4421908093006
214233579,19219303,99,2019-10-27T15:00:00,"1000 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-79.9946158625346,40.4434190143884
214233987,19219338,10,2019-10-27T12:30:00,"1400 Block 5th Ave Pittsburgh, PA 15219",Y,Strip District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",203,6,3,-79.9863133607321,40.4383779130496
213063701,19204441,27,2019-10-07T17:23:00,"6300 Block Shakespeare St Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,708,,,0,0
213162080,19206231,6,2019-10-09T08:30:00,"300 Block Aidyl Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1919,4,5,-80.0275596876643,40.3953246666029
213215935,19206643,11,2019-10-10T11:30:00,"60 Block Allies Blvd Pittsburgh, PA 15222",N,Central Business District,2,IDENTITY THEFT,4120 Identity Theft,201,,,0,0
213510975,19210534,99,2019-10-15T15:36:00,"100 Block Hyman Pl Pittsburgh, PA 15213",N,Terrace Village,2,AIDED CASE,9497 Aided Case,510,6,3,-79.9706240840632,40.4410691051351
-3247001501,19211262,99,2019-10-16T14:12:00,"1000 Block Jancey  St Pittsburgh, PA 15206",N,Morningside,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1014,7,2,-79.9306016296355,40.4761548896612
213663193,19211995,6,2019-10-17T15:30:00,"Ross St & 4th Ave Pittsburgh, PA 15219",Y,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-79.9964643900557,40.4375899592553
213673608,19212214,10,2019-10-17T20:18:00,"3400 Block Kedzie St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2022,2,5,-80.0703556863347,40.4530579998058
213869031,19215006,10,2019-10-21T16:30:00,"2600 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2614,6,1,-80.0153828470721,40.468152705421
212898304,19203784,10,2019-10-06T18:57:00,"Bigelow Sq Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.994441246514,40.4408516482553
212899007,19203805,99,2019-10-06T19:34:00,"900 Block Freeport Rd Pittsburgh, PA 15238",N,Lincoln-Lemington-Belmar,5,AIDED CASE,9497 Aided Case,1201,9,2,-79.8923529450752,40.4861185015656
212901602,19203901,11,2019-10-06T22:30:00,"E North Ave & Sandusky St N Pittsburgh, PA 15212",N,Central North Side,1,CREDIT CARDS,4106 Access Device Fraud,2206,1,1,-80.0045684226519,40.455850861071
212902139,19203921,10,2019-10-06T23:35:00,"800 Block Brookline Blvd Pittsburgh, PA 15226",Y,Central Business District,6,TERRORISTIC THREATS,2706 Terroristic Threats.,1918,4,5,-80.0201234537695,40.3935764360233
212941086,19204206,6,2019-10-07T11:20:00,"5500 Block Centre Ave Pittsburgh, PA 15232",Y,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,7,2,-79.9364623699551,40.4565877817342
-3250007167,19204264,0,2019-10-07T12:37:00,"1200 Block Commercial St Pittsburgh, PA 15218",N,Swisshelm Park,4,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1411,,,0,0
-3348001757,19204633,6,2019-10-07T20:30:00,"2600 Block Railroad St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,,,0,0
-3301021953,19210649,6,2019-10-12T11:00:00,"6400 Block Hamilton Ave Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1208,9,2,-79.9156321060044,40.4595193119147
213569884,19211181,26,2019-10-16T12:17:00,"2100 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,501,6,3,-79.9788764417094,40.4443711190007
213993839,19216346,18,2019-10-23T14:59:00,"East Ohio St & Cedar Ave Pittsburgh, PA 15212",Y,Allegheny Center,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2204,1,1,-80.0016971625207,40.4533202108365
213995396,19216328,10,2019-10-23T14:30:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2304,1,1,-80.0009078039902,40.4508935599436
-3354001633,19216314,6,2019-10-23T14:01:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Outside County,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,6699,,,0,0
213996832,19216279,0,2019-10-23T13:32:00,"5500 Block Stanton Ave Pittsburgh, PA 15206",Y,East Liberty,5,99,9093 Indirect Criminal Contempt,1113,7,2,-79.9283252795667,40.4723059653236
214021090,19216497,0,2019-10-23T19:30:00,"Forbes Ave & Scrip Way Pittsburgh, PA 15219",Y,Central Business District,2,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,201,,,0,0
214025085,19216633,18,2019-10-23T23:32:00,"Erin St & Centre Ave Pittsburgh, PA 15219",Y,Middle Hill,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 4303 General Lighting Requirements.,501,6,3,-79.9789025999371,40.4443505785035
214169353,19218254,21,2019-10-26T03:27:00,"800 Block Boggs Ave Pittsburgh, PA 15211",Y,Mount Washington,3,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment,1915,4,5,-80.0124149933919,40.4184977479424
214189545,19218425,11,2019-10-26T11:00:00,"300 Block Hazelwood Ave Pittsburgh, PA 15207",Y,Hazelwood,4,THEFT BY DECEPTION,3922 Theft by Deception. / 517.8(A2) Home Improvement Fraud,1501,5,3,-79.940402808768,40.4124566320319
-3180001744,19218422,26,2019-10-26T09:00:00,"300 Block Platt Ave Pittsburgh, PA 15216",N,Beechview,6,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1916,,,0,0
214194489,19218530,27,2019-10-26T14:20:00,"5800 Block Forbes Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1403,5,3,-79.9228071341134,40.4379109890663
213998415,19216323,0,2019-10-23T14:46:00,"50 Block Montgomery Pl Pittsburgh, PA 15212",Y,Allegheny Center,1,99,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,2204,1,1,-80.0049643611736,40.4548112586575
-3298014523,19216420,6,2019-10-23T17:10:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,East Liberty,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1115,,,0,0
-3025031049,19216369,6,2019-10-23T15:06:00,"4900 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1515,5,3,-79.9443669504557,40.4097751007678
-3281007959,19215266,5,2019-10-22T01:30:00,"1800 Block Leolyn St Pittsburgh, PA 15210",N,Carrick,3,BURGLARY,3502 Burglary.,2902,4,3,-79.9855708228204,40.397480492608
214029615,19216739,0,2019-10-24T05:34:00,"Veterans Brg Ramp & 7th Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Dispatch injured animal,201,,,0,0
212936407,19204147,99,2019-10-07T06:10:00,"100 Block Nuzum Ave Pittsburgh, PA 15210",N,Carrick,3,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,2902,,,0,0
212940234,19204191,4,2019-10-07T11:31:00,"500 Block Marshall Ave Pittsburgh, PA 15214",Y,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault.,2615,6,1,-80.0166941137435,40.4710051349024
212948445,19204265,6,2019-10-06T08:30:00,"6th St & Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle,201,6,6,-80.002152975198,40.4427499623409
212952270,19204300,5,2019-10-07T13:30:00,"400 Block Parson St Pittsburgh, PA 15204",N,Sheraden,6,BURGLARY,3502 Burglary.,2018,2,5,-80.0550008419291,40.4604013373604
212961969,19204453,6,2019-10-07T17:14:00,"600 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-80.0017928321911,40.4425929172081
212979378,19204699,17,2019-10-08T02:10:00,"1500 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,OPEN LEWDNESS,"5901 Open Lewdness. / 5505 Public Drunkenness / 601.16(b)(2) Any Person who urinates or defecates in, on, or about any public place w/o immediately cleaning and disposing of the material / 601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 601.16 Public Urination And Defecation",1702,3,3,-79.9833100173741,40.4286928036566
213042453,19205111,6,2019-10-08T15:28:00,"7100 Block Reynolds St Pittsburgh, PA 15208",N,Point Breeze,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1406,9,3,-79.9053962321965,40.4466032336521
213435424,19209775,8,2019-10-14T16:15:00,"California Ave & Stranmore St Pittsburgh, PA 15212",N,Manchester,1,DANGEROUS BURNING,3301(d.1) Dangerous Burning,2107,6,1,-80.026833747327,40.4604510805974
214049623,19216805,10,2019-10-24T08:35:00,"9th St & Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.9979769770073,40.4429445426381
214098149,19217148,14,2019-10-24T09:51:00,"900 Block Berkshire Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1918,4,5,-80.019919981023,40.3922401139267
214100599,19217184,0,2019-10-24T19:10:00,"1300 Block Woods Run Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2703,,,-79.8829977223854,40.4462203199414
214101278,19217213,8,2019-10-24T19:23:00,"7200 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,DANGEROUS BURNING,3301(d.1) Dangerous Burning,1303,9,2,-79.8969956274934,40.4555186499155
214236494,19219392,24,2019-10-27T17:19:00,"600 Block William Penn Pl Pittsburgh, PA 15219",Y,Central Business District,2,DISORDERLY CONDUCT,5503 Disorderly Conduct.,201,6,6,-79.9967621340552,40.4411412816935
214236823,19219405,6,2019-10-27T06:00:00,"400 Block Sweetbriar St Pittsburgh, PA 15211",N,Duquesne Heights,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1911,2,5,-80.0225204716674,40.4357573476021
214236931,19218892,24,2019-10-27T00:43:00,"S 15th St & Roland St Pittsburgh, PA 15203",Y,South Side Flats,3,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,3,-79.9834385131345,40.4285634613338
214237672,19219416,15,2019-10-27T17:58:00,"Watson St & Stevenson St Pittsburgh, PA 15219",Y,Bluff,2,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",103,6,3,-79.986498781769,40.4382040793296
214238174,19219460,10,2019-10-27T19:02:00,"100 Block 7th St Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-80.000996797488,40.4441447479242
214238530,19219379,10,2019-10-27T17:02:00,"600 Block Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.9974088316752,40.4415332222525
214241158,19219289,10,2019-10-27T14:00:00,"700 Block Mayville Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2718(a)(2) Strangulation - Blocking the Nose and Mouth of the Person",1917,4,5,-80.0119363786352,40.4014536386045
